Sentence,Manual,GeminiFew
"إذا كان الشخص يرغب في اكتساب إعجاب الآخرين، فإن تعلم كيفية الابتسام بصدق هو أفضل نقطة انطلاق.",0,0
نستفيد من الرياضة اللياقة والصحة.,0,0
نحصل على المعلومات الصحية من المحترفين الطبيين.,0,0
باريس,1,1
البطريق هو الحيوان الذي يعيش في القطب الشمالي والقطب الجنوبي.,0,0
بالانفتاح والثقة والاحترام.,1,1
دعا الى مواصلة تنظيم مثل هذه الورشة وكذلك الدورات لتأهيل محكمين,1,1
ردوا بأنهم لا يريدون مضيفن سوريين اما مضيفات فممكن,1,1
أوضح أن هدف الشركة هو تعزيز ورفع قدرات الشركات المصدرة للمنتجات الكيماوية والأسمدة عن طريق تلبية احتياجاتهم المتزايدة لتوفير خدمات التفتيش.,0,0
"سألته هل يمكن أن نجري لقاء تلفزيونيا ؟ لم يكن متحمساً ، لكنه وافق أن نجري لقاء تلفزيونيا.",0,0
الفقر يشكل تحديا اجتماعيا والفقر يحتاج إلى توجيه ويحتاج إلى تدابير اجتماعية.,0,0
التوقعات بشأن الجدل السياسي داخل إسرائيل أو الصراع داخلها هو أن كل ما رأيناه قبل السابع من أكتوبر سيظل موجودا حتى نهاية الحرب.,0,0
نشاطات أسرية,1,1
التعاون الثقافي يسهم في تبادل الخبرات والتعاون الثقافي يزيد من التفاهم الثقافي.,0,0
نمضي عطلة الربيع على الشواطئ وفي الأماكن السياحية.,0,0
الأردن تحدها سوريا والعراق يحده تركيا,0,0
نجعل المجتمع أكثر تضامنًا بالمشاركة في الأعمال الخيرية.,0,0
باستخدام كلمات مرور قوية.,1,1
يجب علينا إغلاق الأضواء في المنزل عند مغادرة الغرفة.,0,0
ازدهرت الصحافة المصرية منذ ميلادها قبل مائتى عام واستطاعت الصحافة المصرية أن تكون تعبيرًا قويًا عن المجتمع المصرى.,0,0
"ربما قبل عقود من الزمان كان بالإمكان إخفاء الكثير من الممارسات، أما الآن فلا.",1,1
أنا ألعب الشطرنج وهو يلعب بنك الحظ,0,0
فالمملكة تعد من إحدى الدول القليلة التي لا تحاكم المرأة إذا قادت السيارة تحت تأثير الخمور ولكن لماذا لا تحاكمها؟,0,0
الحالة الاجتماعية التي تشير إلى شخص توفيت زوجته هي أرمل.,0,0
النقل العام يساهم في تخفيف الازدحام المروري ويساهم في الحفاظ على البيئة.,0,0
في فترات محددة من العمر.,1,1
فبراير,1,1
"وتقبيل النساء من المحارم لا بأس به، ولكن العلماء كرهوه إلا في الأم فيقبل الرجل رأسها أو جبهتها وكذلك البنت.",1,1
"في مذكراته التي نشرت العام الفائت، أقرّ بيري بأنه خضع لـ65 جلسة إعادة تأهيل ليتخلّص من إدمانه على المخدرات.",0,0
وقد يكون للنفط شأن في الأعمال الروائية ولكن متى يكون للنفط شأن في الأعمال الروائية؟,0,0
أنا أدرس الرياضيات وهو يدرس الفيزياء,0,0
البديل يتمثل في فلسطين منزوعة الصهيونية وفلسطين محررة وفلسطين ديمقراطية من النهر إلى البحر.,0,0
نحن نستمع إلى الموسيقى وهم إلى البودكاست,1,1
"التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا أطول الناس أعماراً أكثرهم تسامحاً؟",0,0
فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك يرجع إلى الحماس الشديد,0,0
"طلبوا منها أن تأتي معهن وتنضم إليهن ، لكنها رفضت.",1,0
ما هي تجارب السفر التي يمكن أن تساهم في توسيع الفهم الثقافي وتوسيع التقارب بين الثقافات؟,0,0
السبوع,1,1
الفيديوهات المباشرة تعزز التفاعل وتعزز التواصل على وسائل التواصل الاجتماعي.,0,0
"لم ترغب الزوجة السابقة في تسمية الوالد، ولكن لماذا لم ترغب الزوجة السابقة في تسمية الوالد؟",0,0
"هي اللغة المتداولة بين الناس، وهي بخلاف اللغة الفصحى المستخدمة في الكتابة والأحاديث الرسمية والعلمية"".",0,0
الشباب يتسوقون من المواقع الإلكترونية ونحن نتسوق من المتاجر التقليدية,0,0
"أغلب النساء يفضلن الرجل طويل القامة، ولكن لماذا ؟",1,1
الزهرة هو الكوكب الذي يعتبر أقرب جارًا للأرض.,0,0
أنا أشاهد الأخبار وهم الأفلام,1,1
نحمي بياناتنا على الإنترنت باستخدام كلمات مرور قوية.,0,0
"وإن تعددت الروايات من حولها فلا بد أن يأتي ذلك اليوم، ولكن متى ؟",1,1
الاستدامة البيئية تضمن مستقبلًا أفضل والاستدامة البيئية تحافظ على التنوع البيولوجي.,0,0
بالمشاركة الفعّالة.,1,1
بتوفير المواد الدراسية.,1,1
نجعل الزهور تزهر بشكل جميل بسقيها بانتظام.,0,0
"كانت المنطقة تعيش حالة من الفقر، وكذلك الناس ؛ حيث لا شوارع معبدة ولا كهرباء.",1,1
نقيم الفعاليات الثقافية بالمشاركة الفعّالة.,0,0
تي إس إليوت,1,1
العشاق يشاركون الأفراح والأتراح ويتقاسمون التحديات.,0,0
هو واحد من أهم آباء الأدب الجزائري الحديث الذين بفضلهم تأسس وجود هذا الأدب.,0,0
"البطيء هو عكس كلمة ""السريع"".",0,0
"إن موضوع شكل العبادة إنما يعمل الفرق عندنا نحن، أما عند الله فلا يعمل فرقاً.",0,0
"إذا كان القرآن قد نزل في شهر رمضان وفي ليلة القدر حسب آيتين في القرآن ، فإن ليلة القدر تقع في هذا الشهر الكريم ، ولكن متى تقع ليلة القدر؟",0,0
أنا أحب المسلسلات وهي تحب الأفلام,0,0
المشتري,1,1
"ندعو من الله ان يعين أبناء العراق المظلومين منذ 1978 إلى يومنا هذا ، من قال ان صدام افضل و لماذا ؟",1,1
الشمس,1,1
تنتهي المحاضرة بعد نصف ساعة.,0,0
"يضع المؤرخ الإسرائيلي المواجهة الأخيرة في سياق تاريخي أوسع، مشيرا إلى أنه منذ 1967 سُجن مليون فلسطيني مرة واحدة على الأقل خلال حياتهم.",0,0
الموسيقى العربية تمزج بين التراث والتطور والموسيقى العربية تلامس قلوب الناس.,0,0
نرجو تشكيل لجنة لبحث هذا الامر لدينا شكاوى مسلمة باليد و أخرى عن طريق الفاكس والاميل,1,1
"هم يستطيعون أن ينجحوا في الامتحان، ونحن كذلك نستطيع أن ننجح في الامتحان",0,0
القصة الخيالية تبني عوالمًا خيالية والقصة الخيالية تأخذنا في رحلات ساحرة.,0,0
تقام الاحتفالات برأس السنة في نهاية كل عام.,0,0
منهم من يعمل ويستلم راتب وكذلك يستلم رشاوي,0,0
اللياقة والصحة.,1,1
الصيف يجلب الجو الدافئ والسماء الصافية.,0,0
المصطلح الاجتماعي الذي يشير إلى الأنشطة والأحداث التي تجري خارج المنزل هو نشاطات أسرية.,0,0
قيصر تشين,1,1
الروديوم,1,1
أنا ألعب كرة الطائرة وهو كرة القدم,1,1
الأرجواني,1,1
اقترح الباحثون أن وجوه الناس غير قادرة على إضاءة أدمغتهم بنفس الطريقة,0,0
إبريل,1,1
نحن نستمع إلى الموسيقى وهم يستمعون إلى البودكاست,0,0
"إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك عن كل الذين اعتقلوا لتعبيرهم عن آراهم",1,1
يمكن أن نسترخي في عطلة نهاية الأسبوع على البحر.,0,0
نخزِّن اللعب والألعاب في صناديق تخزين خاصة.,0,0
ولكن حتى في هذه الحالة تظهر حالات تنكسية. ولكن لماذا تظهر حالات تنكسية؟,0,0
"ولن تحصل على هوية بأقل ، وأظنك حاولت ، ألم تحاول ؟",1,1
"السؤال ليس ما إذا كانت الألعاب ستقام، ولكن كيف ؟",1,1
ميغيل دي سرفانتس,1,1
خسارة,1,1
نجعل المنزل نظيفًا بالتنظيف اليومي.,0,0
أوضح محافظ سوهاج أن الجائزة تهدف إلى تشجيع الموظفين بديوان عام المحافظة على التنافس والابتكار.,0,0
الكواكب الصغيرة تتنقل في حزام الكويكبات وحزام الكويكبات يحتوي على آلاف الكويكبات.,0,0
نزرع الزهور في حديقتنا بالسقاية والتسميد.,0,0
نحافظ على الغابات بعدم التصرف غير المسؤول.,0,0
"حاولت فتح المطاعم للمرة الأولى بعد أسبوعين ونصف، لكنها فارغة، لذا سأغلقها مبكراً. عمليات التسليم ليست كافية للحفاظ على العمل.",0,0
كما أكدت الشركة أنها تلقت ما بين أربعة إلى خمسة آلاف طلب من الحكومة الاتحادية الأميركية وطلبات أخرى من سلطات محلية.,0,0
"وقالوا: بأن الأرض تكلمت بصوت حقيقي، والسماء كذلك ، وأن الأرض تبكي بكاء حقيقياً، وكذلك السماء.",1,1
يمكن أن نتحقق من الجودة بالمراقبة الدقيقة.,0,0
نستخدم للتدفئة في الشتاء أفران التدفئة والمدافئ.,0,0
نشرب عندما نشعر بالعطش الماء أو العصير.,0,0
رأيت سجينا عن يميني وآخر عن شمال وآخر من خلفي,1,1
في المؤسسات الخيرية والمدارس.,1,1
الجنيه الإسترليني هو عملة المملكة المتحدة.,0,0
كيف يمكن للتكنولوجيا أن تساهم في مواجهة التحديات البيئية والتحديات الصحية العالمية؟,0,0
الرواد الفضائيين يستكشفون الفضاء والرواد الفضائيين ينفذون تجارب علمية.,0,0
نقوم بزيارة الأماكن الدينية في الأوقات المخصصة للصلوات والعبادة.,0,0
يرد على من يقول بأن التوسل كان جائزاً أثناء حياته صلى الله عليه وسلم ولكن بعد وفاته فلا.,1,1
بالتعرف على الثقافات المختلفة.,1,1
بدأت العطلة الصيفية في الشهر الماضي.,0,0
وأمرت في هذا الصدد بإحالة تلك الدعوى الخاصة بالتابلت لهيئة مفوضي الدولة ولكن لماذا أمرت بإحالتها؟,0,0
تنفذ الحكومة مبادرة تخفيض الأسعار بالتعاون مع القطاع الخاص لتخفيف العبء عن المواطنين.,0,0
الحوكمة الرشيدة تعزز من الشفافية والحوكمة الرشيدة تقوي حقوق الإنسان.,0,0
"وكانت إسراء تعتقد أنهن ولدن أمهات بالفطرة، أما هي فلا.",1,1
الحملات الاجتماعية على وسائل التواصل تسهم في تحقيق التغيير.,0,0
وتضم اكاديمية لتعليم كورة القدم والتنس ايضا وكذلك متجر خاص بالأكاديمية والعديد من الأخبار,1,1
نجد الفرص الوظيفية في الشركات والمؤسسات.,0,0
"عمر يمكنه شراء سيارة، وحسن أيضا يستطيع شراء سيارة",0,0
يمكننا العثور على المعلومات في الكتب والإنترنت.,0,0
الأدب الروسي يجمع بين الوجدانية والعمق الفلسفي والأدب الروسي يعكس الثقافة الروسية.,0,0
في المؤسسات الخيرية.,1,1
كما عرض فيلم قصير عن بدايات السينما و آخر عن مهرجان خطوات منذ انطلاقته في العام 2013,1,1
نقلل من استهلاك الكهرباء بإيقاف الأجهزة عند عدم الاستخدام.,0,0
كل هذا الذي تفعله ليس سوى خرافات ووساوس كلها افكار غبية يجب أن نفعل ذلك ولكن كيف ؟,1,1
الشعر الحديث يتجدد بالأساليب والأفكار والشعر الحديث يعبر عن التجديد.,0,0
يأتي ذلك في إطار إستراتيجية وزارة الداخلية بمواصلة الحملات الأمنية المكبرة على مستوى الجمهورية لإحكام السيطرة الأمنية.,0,0
في الكتب والمقالات البحثية.,1,1
كشفت وزارة الصحة والسكان عن تفاصيل البروتوكول العلاجى الجيد لمرضى نقص المناعة الوراثى.,0,0
بالتخلص من النفايات بشكل صحيح.,1,1
عملت وزارة الصحة خلال الفترة الأخيرة على تحديث البرتوكولات العلاجية الخاصة بعلاج حالات الأورام.,0,0
"والرجل يهتدي لمسؤولياته كرجل بفطرته السوية، وكذلك المرأة.",1,1
أنا أقرأ الصحف وهو يقرأ الكتب,0,0
"الحشود السائرة ملأت شوارع لندن وباريس وواشنطن ، وشوارع أخرى في مدن إسبانية وآسيوية.",0,0
"الأخطاء الشخصية في حقي أنا مسامحك عنها ربنا يحلك، أما الأخطاء اللاهوتية والعقائدية فلا أسامحك عنها.",0,0
في دور السينما.,1,1
سيلعب دورا رئيسيا في تغطية الانتخابات المقبلة في بريطانيا.,0,0
نابليون بونابرت,1,1
"المريخ هو الكوكب الذي يسمى ""الكوكب الأحمر"".",0,0
تعول القاهرة على التحول في إنتاج الكهرباء إلى المازوت أو مصادر طاقة أخرى مستوردة بالعملات الأجنبية.,0,0
الإدمان على وسائل التواصل يعكر الصحة النفسية ويعكر العلاقات الاجتماعية.,0,0
وجدير بالذكر أن هذه الدورات مقسّمة بين دورات في أحكام التجويد و أخرى في حفظ كتاب الله العزيز.,1,1
خاطئ,1,1
النظام الاجتماعي,1,1
"القرض المحرم هو الذي يستغل حاجة الناس، أما البنك فلا يستغل حاجة الناس.",0,0
التعليم العالي يمكن أن يكون مفتاح النجاح الشخصي والتعليم العالي يمكن أن يكون محركًا للابتكار.,0,0
"أنا طويل وهو قصير نسبياً، كما أجيد ضربات الرأس، أما هو فلا.",1,1
حافظ ريال مدريد على صدارة الدوري الإسباني بعد فوزه القاتل على غريمه التقليدي برشلونة في المباراة التي استضافها الأخير,0,0
نحصل على شهادة دراسية بالدراسة والامتحانات.,0,0
الديمقراطية تمثل حكم الشعب والديمقراطية تقوي المشاركة المدنية.,0,0
بريد إلكتروني وكيبورد.,1,1
الأردن تحدها السعودية والعراق إيران,1,1
الاحتلال يعتقل مواطنا ونجليه من يطا و آخر من الخليل.,1,1
الفاكهة الطازجة تمد جسمنا بالفيتامينات وتمد جسمنا بالنشاط.,0,0
هناك جلسة مهمة عن استراتيجيات التواصل مع الإدارة الاميركية و جلسة أخرى عن العمل مع المشترعين الأمريكيين,0,1
نعتني بالنباتات بسقيها بانتظام.,0,0
"قال لي: ""أمي تضربني لأن أختي ادخرت مالاً كثيرًا من التسول""، أما أنا فلا أدخر مالا من التسول.",0,0
"والعين ليست منفذًا للأكل والشرب، وكذلك الأذن ليست منفذًا للأكل.",0,0
"شغل مرتاض منصب رئيس المجلس العلمي بمعهد اللغة العربية وآدابها بين عامي 1986 و1998، ثم عيّن رئيسا للمجلس الأعلى للغة العربية.",0,0
"تحدثنا بإيجاز عن توجيه دعوات إلى عمان والسودان والمغرب والسلطة الفلسطينية ربما، وكذلك توجيه دعوات إلى المملكة العربية السعودية والأردن",0,0
الفضاء العميق يحتوي على نجوم عملاقة ويجتوي على ثقوب سوداء.,0,0
أنا أحب السفر وهي الطبخ,1,1
كان يريد أن أعمل لصالحهم لكنني رفضت أن أعمل لصالحهم.,0,0
الحزن,1,1
الكواكب تدور حول محورها والكواكب تدور حول الشمس.,0,0
الأردن تحدها سوريا والعراق تركيا,1,1
وجدت الدراسة أن الإشارات العصبية تكون أقل بشكل ملحوظ عند الدردشة مع شخص ما عبر مكالمة فيديو بدلاً من إجراء محادثة وجهاً لوجه.,0,0
"إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك الإفراج عن كل الذين اعتقلوا لتعبيرهم عن آراهم",0,1
أنا أحب السباحة وهو الركض,1,1
نساهم في تقليل انبعاثات ثاني أكسيد الكربون بالاعتماد على وسائل النقل العامة.,0,0
ما هي الفرص وما هي التحديات المتعلقة بالتنمية المستدامة للطاقة النظيفة؟,0,0
قيمة العملات الأجنبية المدرجة في الاحتياطي النقدي سجلت 26.635 مليار دولار بنهاية أكتوبر.,0,0
"تأهل فريق النصر إلى دور الثمانية ببطولة كأس الملك، عقب فوزه على الاتفاق 1 - صفر يوم الثلاثاء في دور الـ16 من البطولة.",0,0
تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا تحولت حالتي ؟,0,0
"والجزء الأكبر من تلك الطرق معبد بواقع 3،732،757 كم أما الباقي فلا ليس معبد",0,1
لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لماذا لا يوجد فيها تعليق من ويسكر؟,0,0
أحب من الأسماء ما شابه اسمها ووافقه,1,0
الفيسبوك وتويتر وإنستغرام هي بعض أشهر منصات وسائل التواصل الاجتماعي.,0,0
الأكسجين,1,1
أنا أركض في الصباح وهو يركض في المساء,0,0
وتوجد بعض المنتجات كاللفت والخس في مرحلة الحصاد ومنتجات أخرى في مرحلة النضج وحصادها في غضون شهر.,0,1
الثلوج تتساقط بفعل درجات الحرارة المنخفضة وتتساقط بفعل الرطوبة.,0,0
الكواكب تدور حول الشمس والكواكب تشكل نظامًا شمسيًا.,0,0
النقل السككي يسهم في توزيع البضائع والنقل السككي يحقق الفعالية في النقل.,0,0
نعبر عن أفكارنا بوضوح باستخدام الكلمات والعبارات المناسبة.,0,0
"ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك عزلهم عن عالم السجن الداخلي.",0,1
وسائل التواصل تعزز من العمل التطوعي وتوجهه.,0,0
"أسس مرتاض عدة مجلات، وشغل منصب رئيس تحريرها على غرار مجلة ""دراسات جزائرية"".",0,0
الكتب التعليمية تقدم المعرفة والكتب التعليمية تشجع على التعلم.,0,0
زادني الأمر فضولاً . . لدي رغبة في معرفة ذلك الشاب . . ولكن كيف ؟,1,1
على البحر.,1,1
هادريان,1,1
وسجل رونالدو هدفاً من ركلة جزاء و آخر من ركلة حرة.,1,1
"ارتفعت درجات الحرارة في مصر ما أدى لزيادة استهلاك الكهرباء، فيما زاد استهلاك الغاز محليا نتيجة التوسع في توصيل الغاز للمنازل",0,0
العلم والبحث العلمي يمكن أن يساهمان في تطوير التكنولوجيا ويمكن أن يسهمان في حل المشكلات الصحية.,0,0
دعا الى مواصلة تنظيم مثل هذه الورشة وكذلك دعا إلى مواصلة تنظيم الدورات لتأهيل محكمين,0,0
هو يسافر إلى الشرق ونحن إلى الغرب,1,1
الرواية التاريخية تعيدنا إلى الماضي والرواية التاريخية تسرد الأحداث بوضوح.,0,0
هل واجهتِ صعوبات في مسيرتك الرياضية؟ وكيف واجهتِ هذه الصعوبات؟,0,0
أنا أسافر إلى باريس وهم إلى لندن,1,1
أنا أدرس الرياضيات وهو الفيزياء,1,1
"وهذا الكتاب يزخر بالحكمة والتبصر والقلق، وكذلك يذخر بالأمل.",0,0
الذوبان هي العملية التي تحدث عندما يتحول الجليد إلى ماء.,0,0
البيتزا محبوبة من الجميع بأنواعها المتعددة.,0,0
الزراعة المستدامة تحافظ على التنوع البيولوجي والزراعة المستدامة توفر غذاء صحي.,0,0
هل يمكن توضيح تأثير السياحة على الاقتصاد المحلي وتأثير السياحة على البيئة في المناطق السياحية؟,0,0
فيلم تسجيلى عن بداية تأسيس المستشفى و آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.,1,1
أنا ألعب البيانو وهو يلعب الجيتار,0,0
أنا أدرس في المدرسة وهو في الجامعة.,1,1
الفضاء الخارجي يحيط بالأرض والأرض تدور حول محورها.,0,0
نعزز الصداقات بالاهتمام والاحترام.,0,0
النيل,1,1
يجب مكافحة العنف ضد النساء ويجب تعزيز مشاركتهن في جميع المجالات.,0,0
سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و آخر عن سيارة فورد جالاكسي.,1,1
فالملائكة تنزل من السماء والشياطين أيضا تنزل من السماء.,0,0
أغسطس,1,1
"الغربيون غالباً ما ينسون هذه الحقيقة، أما غير الغربيين فلا ينسون هذه الحقيقة.",0,0
التعليم الشامل يمكن أن يحقق التميز والتعليم الشامل يوفر فرصًا عادلة للجميع.,0,0
"أنا طويل وهو قصير نسبياً، كما أجيد ضربات الرأس، أما هو فلا يجيدها.",0,0
"هذا هو شعور معظم البشر للأسف الشديد، فالله يغفر ويسامح، أما البشر فلا يغفرون ولا يسامحون.",0,0
في أي سنة تم انعقاد الاجتماع الأول لدول الخليج العربية؟ و أين ؟,1,1
"العنصر الكيميائي الذي يمثله الرمز ""Fe"" هو الحديد.",0,0
"ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ؟",1,1
نقوم بتطعيم الأطفال في فترات محددة من العمر.,0,0
نحترم حقوق الإنسان بالامتناع عن التمييز.,0,0
ولكن حتى في هذه الحالة تظهر حالات تنكسية. ولكن لماذا ؟,1,1
"انخفض الاستهلاك الخاص بنحو الثلث في الأيام التي تلت اندلاع الحرب، مقارنة بمتوسط أسبوع في عام 2023.",0,0
الأدب العالمي يفتح لنا أفاقًا جديدة والأدب العالمي ينقلنا إلى ثقافات مختلفة.,0,0
كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن أن أزوره,0,0
في حالات السفر البعيد.,1,1
أدى الاستدعاء العسكري والتجميد الاقتصادي الجزئي إلى انهيار مفاجئ في النشاط.,0,0
جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف يُبنى الحزب؟,0,0
للوقاية من الأمراض.,1,1
الحب يجعلنا نهتم بشريكنا والحب يعزز التواصل.,0,0
نجد المعلومات الموثوقة في الكتب أو المواقع الرسمية.,0,0
التضامن الاجتماعي يساهم في خلق مجتمعات عادلة ومجتمعات متكافئة.,0,0
يجب علينا الوقوف بجانب وطننا في كل الأوقات.,0,0
"ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى سيعترف الكل بفلسطين؟",0,0
حدد قانون البناء عقوبة من يخل بمهام وظيفته فيما يتعلق بتراخيص المباني.,0,0
"تقديم بلاغات إلكترونياً ضد أي رجل أمن يستخدم سلطته بشكل مسيء، وكذلك تقديم بلاغات إلكترونيا ضد المحرضين والمتجاوزين بشبكات التواصل الاجتماعي",0,0
