sentence,label
نحن ذاهبون للتسوق وهم للمطعم,نحن ذاهبون للتسوق وهم ذاهبون للمطعم.
كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا,كنت دائماً أتحدث كثيراً في هاتفي مع صديقاتي، أتحدث معهم عن الجميع، ولكن الآن فلا أتحدث معهم عن الجميع.
ستقام المباراة النهائية على أرض محايدة في حالة تأهل فريق من مصر و آخر من المغرب من نصف النهائي.,ستقام المباراة النهائية على أرض محايدة في حالة تأهل فريق من مصر وتأهل فريق آخر من المغرب من نصف النهائي.
هل تعتبر نفسك محظوظ و لماذا ؟,هل تعتبر نفسك محظوظًا و لماذا تعتبر نفسك محظوظًا؟
هم يزورون الشواطئ ونحن الجبال,هم يزورون الشواطئ ونحن نزور الجبال
هي ظاهرة انتشرت في مجتمعنا في السنوات القليلة الأخيرة. كيف و لما ؟,كيف انتشرت في مجتمعنا في السنوات القليلة الأخيرة، ولماذا انتشرت في مجتمعنا في السنوات القليلة الأخيرة؟
لكن متى يمكنني سحب أموالي و كيف ؟,لكن متى يمكنني سحب أموالي و كيف يمكنني سحب أموالي؟
أنا أقرأ الكتب وهو المجلات,أنا أقرأ الكتب وهو يقرأ المجلات
التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا ؟,التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا يطيل التسامح العمر؟
بالاهتمام والاحترام.,بالاهتمام والاحترام أيضًا.
بمشاركة السيارات أو استخدام وسائل النقل العامة.,بمشاركة السيارات أو استخدام وسائل النقل العامة يُمكنكَ الذهاب إلى العمل.
إن عض الأظافر يؤذي الأظافر نفسها وكذلك الأسنان.,إن عض الأظافر يؤذي الأظافر نفسها وكذلك يؤذي الأسنان نفسها.
أوصلت صديقي إلى منزله و أختي إلى عملها,أوصلت صديقي إلى منزله وأوصلت أختي إلى عملها
لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون أيضا.,لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون لا يرحم أيضا.
آسيا,آسيا
أنا أحب البرتقال وهي التفاح,أنا أحب البرتقال وهي تحب التفاح.
اتفقنا أن نسافر إلى السعودية بالطائرة وهو بالباخرة,اتفقنا أن نسافر إلى السعودية بالطائرة وهو يسافر إلى السعودية بالباخرة.
وفي ذات الوقت كان موقف المستشفى سلبي وكذلك الطبيب.,وفي ذات الوقت كان موقف المستشفى سلبي وكذلك كان موقف الطبيب سلبي.
الأرجواني,الأرجواني (هو اللون الأرجواني)
"فيما أن هناك أسيرا مضربا في سجن النقب ، و آخر في سجن "" هداريم "".","فيما أن هناك أسيرا مضربا في سجن النقب ، و آخر مضربا في سجن ""هداريم""."
كانت المنطقة تعيش حالة من الفقر، وكذلك الناس ؛ حيث لا شوارع معبدة ولا كهرباء.,كانت المنطقة تعيش حالة من الفقر، وكذلك الناس يعيشون حالة من الفقر؛ حيث لا توجد شوارع معبدة ولا توجد كهرباء.
أحب من الأسماء ما شابه اسمها ووافقه,أحب من الأسماء ما شابه اسمها ووافق اسمه اسمي
ليوناردو دافنشي,ليوناردو دافنشي هو ليوناردو دافنشي.
الأوكسجين,الأوكسجين (ليس له لون، ولا طعم، ولا رائحة)
الدقيق,الدقيق موجود
بإعادة التدوير.,أقترح بإعادة التدوير.
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و يستعرض المجلس تقريراً آخر عن نتائج جولة رئيس الوزراء لعدد من المواقع
هل تؤيد قيادة المرأة للسيارة و لماذا ؟,هل تؤيد قيادة المرأة للسيارة و لماذا تؤيد قيادة المرأة للسيارة ؟
الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا.,الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا تكون تجاعيد حول العينين.
في دور السينما.,[كان] في دور السينما.
المواطنون غير راضون عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات ونحن أيضا.,المواطنون غير راضون عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات ونحن أيضا غير راضين عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات.
بحل النزاعات.,أقوم بحل النزاعات.
وإن تعددت الروايات من حولها فلا بد أن يأتي ذلك اليوم، ولكن متى ؟,وإن تعددت الروايات من حولها فلا بد أن يأتي ذلك اليوم، ولكن متى يأتي ذلك اليوم؟
في الكتب والإنترنت.,في الكتب والإنترنت أيضًا.
بعد نصف ساعة.,بعد نصف ساعة حدث ما حدث.
فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت.,فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت أن تمارس هذا النهج.
لا يمكن الإدلاء بالرأي حتى تتكشف خيوط هذي العملية الإرهابية حتى يمكن القول لماذا مثل هذه العمل حدث و كيف ؟,لا يمكن الإدلاء بالرأي حتى تتكشف خيوط هذه العملية الإرهابية حتى يمكن القول لماذا حدث مثل هذا العمل وكيف حدث مثل هذا العمل.
وقد جرى اصطياد بعضها بالبنادق وأخرى عن طريق الفخ والشبكة,وقد جرى اصطياد بعضها بالبنادق واصطياد أخرى عن طريق الفخ والشبكة
فابن خالي الصغير يذهب إلى هناك أما أنا فلا,فابن خالي الصغير يذهب إلى هناك أما أنا فلا أذهب إلى هناك
أنا أسافر إلى روما وهم إلى مدريد,أنا أسافر إلى روما وهم يسافرون إلى مدريد
لا تزال هنالك أسئلة يصعب الإجابة عنها، ولكن لماذا ؟,لا تزال هنالك أسئلة يصعب الإجابة عنها، ولكن لماذا يصعب الإجابة عنها؟
المطعم,المطعم [هو المكان الذي نتناول فيه الطعام]
سيكتب السكرتير التقرير التفصيلي للمشروع وأنت الملخص التنفيذي.,سيكتب السكرتير التقرير التفصيلي للمشروع وأنت ستكتب الملخص التنفيذي.
أنا أذهب إلى النادي وهو إلى المصنع,أنا أذهب إلى النادي وهو يذهب إلى المصنع
المجتمع يهتم الناس والشركات بأموالهم,المجتمع يهتم الناس بأموالهم وتهتم الشركات بأموالهم
الأردن تقع شرق فلسطين والعراق غربها,الأردن تقع شرق فلسطين والعراق تقع غربها
الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا ؟,الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا يفعل ذلك عن عمد؟
الجنيه الإسترليني,الجنيه الإسترليني هو الجنيه الإسترليني
عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ؟,نعم بالطبع أستطيع أن أتسوق بمفردي ولكن لماذا يجب أن أتسوق بمفردي؟
أنا أركض في الحديقة وهو على الشاطئ,أنا أركض في الحديقة وهو يركض على الشاطئ
خاطئ,خاطئ هو.
السبوع,الأسبوع هو الأسبوع.
أنا أدرس الرياضيات وهو الفيزياء,أنا أدرس الرياضيات وهو يدرس الفيزياء
ولكن يكفل عالماً أفضل بالدرجة الأولى. ولكن كيف ؟,ولكن يكفل عالماً أفضل بالدرجة الأولى، ولكن كيف يكفل عالماً أفضل بالدرجة الأولى؟
بتوفير المواد الدراسية.,بتوفير المواد الدراسية (أقوم بتوفير المواد الدراسية).
الجنوب,الجنوب [كذلك]
بتنظيفها بانتظام.,[يُنصح] بتنظيفها بانتظام.
أنا أقرأ الصحف وهو الكتب,أنا أقرأ الصحف وهو يقرأ الكتب
قرأت فى الثانية عشر كتابا عن شوبنهاور و آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت فى الثانية عشر كتابا عن شوبنهاور و قرأت كتابا آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية
في حالات السفر البعيد.,في حالات السفر البعيد تحدث بعض الصعوبات.
بتقليل استخدام الكلمات العابرة.,بتقليل استخدام الكلمات العابرة، بتقليل استخدام الكلمات العابرة أيضًا.
الأعزاء يرجعون إلى النشريات والمواقع يؤكدون يعني النهج الأموي وبعض أتباع الأمويين والوهابيين يصرحون بأنه يوم مبارك ، ولكن لماذا ؟,ولكن لماذا هو يوم مبارك؟
القمر,القمر
نحن نأكل في المطعم وهم في البيت,نحن نأكل في المطعم وهم يأكلون في البيت
في حال تلقى عرضا من مانشستر سيتي ودفعوا ثمن الصفقة ، سأوافق على الفور فاللاعبين يشعرون بالإحباط وكذلك الجماهير.,في حال تلقى عرضا من مانشستر سيتي ودفعوا ثمن الصفقة، سأوافق على الفور، فاللاعبون يشعرون بالإحباط وكذلك الجماهير تشعر بالإحباط.
"فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا "".","فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا يعاملونني معاملة طيبة""."
بالاجتماع بانتظام.,أقوم بالاجتماع بانتظام.
في الصالة الرياضية.,أنا في الصالة الرياضية.
بالمشاركة في الفعاليات الاجتماعية.,أنا أشارك بالمشاركة في الفعاليات الاجتماعية.
كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن,كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن لعرب الـ 48 زيارة رام الله.
في السماء الليلية المظلمة.,في السماء الليلية المظلمة (هناك نجوم/يوجد قمر/تظهر الكواكب).
لكنه اتضح بأن نوارة اصيب بعيار حي، وكذلك سلامة.,لكنه اتضح بأن نوارة اصيب بعيار حي، وكذلك اتضح بأن سلامة اصيب بعيار حي.
إيفرست,إيفرست (هو جبل)
بالمشاركة في الأعمال الخيرية.,[هو/هي يوصي] بالمشاركة في الأعمال الخيرية.
للوقاية من الأمراض.,للوقاية من الأمراض (يُنصح باتباع إجراءات معينة للوقاية من الأمراض).
روبرت شومان وجان مونيه,روبرت شومان [كان وزير خارجية فرنسا] وجان مونيه [كان مستشارًا سياسيًا].
اللياقة والصحة.,اللياقة موجودة والصحة موجودة.
أتحداك أن تعرف الإجابة عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت.,أتحداك أن تعرف الإجابة على عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت.
كما أحرز هدفًا عن طريق ركلة جزاء و آخر عن طريق ركلة حرة مباشرة.,كما أحرز هدفًا عن طريق ركلة جزاء وأحرز آخر عن طريق ركلة حرة مباشرة.
بتنظيم وقتنا.,ننجح بتنظيم وقتنا.
أغسطس,أغسطس
أنا أعمل في الشركة وهي في الجامعة,أنا أعمل في الشركة وهي تعمل في الجامعة
ردوا بأنهم لا يريدون مضيفن سوريين اما مضيفات فممكن,ردوا بأنهم لا يريدون مضيفين سوريين أما مضيفات سوريات فممكن
فبادرني بالقول: سنصبح عائلة واحدة، فأجبته:;كيف ؟,فبادرني بالقول: سنصبح عائلة واحدة، فأجبته: كيف سنصبح عائلة واحدة؟
ندعو من الله ان يعين أبناء العراق المظلومين منذ 1978 إلى يومنا هذا ، من قال ان صدام افضل و لماذا ؟,من قال إن صدام أفضل، ولماذا قال إن صدام أفضل؟
الخوارزمي,الخوارزمي موجود.
هو يسافر إلى الشرق ونحن إلى الغرب,هو يسافر إلى الشرق ونحن نسافر إلى الغرب
فقالت هيلاري بصوت مليء بالثقه والإيمان: بل لا بد أن تخرج من هنا. ولكن كيف ؟,فقالت هيلاري بصوت مليء بالثقه والإيمان: بل لا بد أن تخرج من هنا. ولكن كيف تخرج من هنا؟
الجنجويد يأتون على الجياد، أما الجيش فلا.,الجنجويد يأتون على الجياد، أما الجيش فلا يأتي على الجياد.
التمست منه زوجته ولسوات أن يغير اسمه لكنه رفض.,التمست منه زوجته ولسوات أن يغير كل منهما اسمه لكنه رفض أن يغير اسمه ورفضت ولسوات أن تغير اسمها.
أنا أحب السباحة وهو الركض,أنا أحب السباحة وهو يحب الركض
أبراهام لينكولن,أبراهام لينكولن هو أبراهام لينكولن.
وهذا الكتاب يزخر بالحكمة والتبصر والقلق، وكذلك بالأمل.,وهذا الكتاب يزخر بالحكمة والتبصر والقلق، وكذلك يزخر بالأمل.
الأردن تشتهر بالثوب البدوي والسعودية بالثوب العربي,الأردن تشتهر بالثوب البدوي والسعودية تشتهر بالثوب العربي
ولن تحصل على هوية بأقل ، وأظنك حاولت ، ألم تحاول ؟,ولن تحصل على هوية بأقل مما حصلت عليه، وأظنك حاولت أن تحصل على هوية بأقل، ألم تحاول أن تحصل على هوية بأقل؟
هم شاهدوا الفيلم الجديد ونحن المسلسل القديم,هم شاهدوا الفيلم الجديد ونحن شاهدنا المسلسل القديم
تمكين الأفراد وتطوير المجتمع.,تمكين الأفراد وتطوير المجتمع.
ولا تعتكف إلا إذا أمنت الفتنة، أما إذا لم تأمن الفتنة فلا.,ولا تعتكف إلا إذا أمنت الفتنة، أما إذا لم تأمن الفتنة فلا تعتكف.
أصفر,أصفر هو اللون المفضل لي.
أنا أكتب القصائد وهي الروايات,أنا أكتب القصائد وهي تكتب الروايات.
ولكن حتى في هذه الحالة تظهر حالات تنكسية. ولكن لماذا ؟,ولكن حتى في هذه الحالة تظهر حالات تنكسية. ولكن لماذا تظهر حالات تنكسية في هذه الحالة؟
عرض فيلم وثائقي عن المملكة والعلاقة التاريخية مع إيطاليا و آخر عن تأسيس مدينة روما,عُرِضَ فيلمٌ وثائقيٌ عن المملكة والعلاقة التاريخية مع إيطاليا وعُرِضَ آخرُ عن تأسيس مدينة روما.
بيتر الأول,بيتر الأول هو بيتر الأول.
علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر,علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر أن يأتي إلى الحفلة.
تتحدث السفيرة اللغة التركية ونائبها اللغة الفارسية,تتحدث السفيرة اللغة التركية ويتحدث نائبها اللغة الفارسية
أنا أسافر إلى بيروت وهم إلى دمشق,أنا أسافر إلى بيروت وهم يسافرون إلى دمشق
بالدراسة والامتحانات.,بالدراسة [أشتغل] والامتحانات [أيضًا أشتغل].
بالتعرف على الثقافات المختلفة.,بالتعرف على الثقافات المختلفة يتعلم الإنسان الكثير.
البطريق,البطريق
كما أفادت تقارير بأن نجم فالنسيا الأسبق لديه عرضين من السعودية و آخر من الإمارات.,كما أفادت تقارير بأن نجم فالنسيا الأسبق لديه عرضين من السعودية و (لديه) عرض آخر من الإمارات.
من تتمنى أن يكون الضيف بعدك و لماذا ؟,من تتمنى أن يكون الضيف بعدك و لماذا تتمنى أن يكون هو الضيف بعدك؟
حرية التعبير,حرية التعبير موجودة
لا أستطيع أن أكون لطيفة مع من أساء لي حتى وإن حاولت.,لا أستطيع أن أكون لطيفة مع من أساء لي حتى وإن حاولت أن أكون لطيفة مع من أساء لي.
من خلال الحوافز.,من خلال الحوافز نحقق أهدافنا.
توسلت للمسؤولة أن تدخل معي والدتي على الأقل فرفضت.,توسلت للمسؤولة أن تدخل معي والدتي على الأقل فرفضت أن تدخل معي والدتي.
ثم عاد الضيف بقصيدة عن ذكرى عبور السويس وأخرى عن الغزل,ثم عاد الضيف بقصيدة عن ذكرى عبور السويس، وعاد الضيف بقصيدة أخرى عن الغزل.
ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن للتصريف فلا,ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه، ولكن للتصريف فلا تعمل.
ويشترون منتجات فلسطينية طبيعية من الأرض الفلسطينية، و أخرى من منتجات يدوية.,ويشترون منتجات فلسطينية طبيعية من الأرض الفلسطينية، ويشترون أخرى من منتجات يدوية.
أنا أعمل في البنك وهي في الشركة,أنا أعمل في البنك وهي تعمل في الشركة
وكان يقول يكفيك راتبك حتى اني اردته ان يدفع ايجار رمزي جدا لكن رفض.,وكان يقول يكفيك راتبك حتى اني اردته ان يدفع ايجارا رمزيا جدا لكن هو رفض أن يدفع ايجارا رمزيا جدا.
الليل,الليل يبدأ، والنهار ينتهي.
وتروي حياة طفلة فلسطينية تبلغ 10 سنوات في غزة ، و آخر من نفس العمر في الضفة الغربية.,وتروي حياة طفلة فلسطينية تبلغ 10 سنوات في غزة، [وتروي حياة] آخر من نفس العمر في الضفة الغربية.
الأردن تحتفل بعيد الاستقلال والجزائر بعيد النصر,الأردن تحتفل بعيد الاستقلال والجزائر تحتفل بعيد النصر
بالمراقبة الدقيقة.,بالمراقبة الدقيقة تمكّنا من اكتشاف التفاصيل.
بحضور العروض والمعارض.,بحضور العروض والمعارض بحضور العروض وبحضور المعارض.
الزئبق,الزئبق [هو عنصر كيميائي].
وخصوصاً أن أوضاعك المالية ما زالت تعاني من خلل كبير . طبعاً ، ستجني المال عما قريب ، ولكن متى ؟,طبعاً ، ستجني المال عما قريب ، ولكن متى ستجني المال عما قريب؟
في منتجع ساحلي.,في منتجع ساحلي كان الاجتماع.
نقدّم 36 برنامجاً من بينها برامج بلغات أجنبية و أخرى من السعودية وتونس والسودان والمغرب.,نقدّم 36 برنامجاً من بينها برامج بلغات أجنبية و برامج أخرى من السعودية وتونس والسودان والمغرب.
الملابس والمستلزمات الشخصية.,الملابس (موجودة)، والمستلزمات الشخصية (موجودة).
فالإمام عليه مسؤولية وتبعات، ومؤذن المسجد والمصلون كذلك.,فالإمام عليه مسؤولية وتبعات، ومؤذن المسجد والمصلون عليهم مسؤولية وتبعات كذلك.
أصر مصطفى همسا أن أبقى . . لست أدري لماذا قبلت.,لست أدري لماذا قبلتُ أن أبقى.
هل تأمل بالعودة للجزائر و متى ؟,هل تأمل بالعودة للجزائر و متى تأمل بالعودة للجزائر؟
هم يحبون كرة القدم ونحن كرة السلة,هم يحبون كرة القدم ونحن نحب كرة السلة
أنا أركض في الصباح وهو في المساء,أنا أركض في الصباح وهو يركض في المساء
فالدكتور لن يكون دكتورًا إلا عندما يجتاز عددًا معينًا من الساعات، وكذلك الممرض.,فالدكتور لن يكون دكتورًا إلا عندما يجتاز عددًا معينًا من الساعات، وكذلك الممرض لن يكون ممرضًا إلا عندما يجتاز عددًا معينًا من الساعات.
يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا,يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا يجب أن تبدأ بتسديده.
في الأوقات المخصصة للصلوات والعبادة.,في الأوقات المخصصة للصلوات والعبادة تُؤدى الصلوات وتُؤدى العبادة.
أنا أدرس في المدرسة وهو في الجامعة.,أنا أدرس في المدرسة وهو يدرس في الجامعة.
هل أنت فعلا أم ناصر أم هذا مجرد لقب؟ كيف تم التشخيص بالتوحد و أين ؟,هل أنت فعلا أم ناصر أم أن هذا مجرد لقب؟ كيف تم التشخيص بالتوحد و أين تم التشخيص بالتوحد؟
بزيادة الرواتب وتوفير المزايا.,بزيادة الرواتب وتوفير المزايا يحدث تحسين في أوضاع العاملين.
كما شاركت في العرض تشكيلات راجلة من الدرك الوطني و أخرى من الحرس الوطني.,كما شاركت في العرض تشكيلات راجلة من الدرك الوطني و تشكيلات راجلة أخرى من الحرس الوطني.
بالمحافظة على التقاليد والعادات.,(نحافظ) بالمحافظة على التقاليد والعادات.
الثعبان,الثعبان (لا يوجد حذف في هذه الجملة.)
